SLUG,PROMOTED_RUN_TITLE,ORGANISATION_TITLE,BUSINESS_MODEL,COUNT_UNIT_ENROLEMENT,UNLIMITED_ENRLEMENTS
leading-managing-team,Leading and Managing a Team,Coventry University,NoPurchase,4,0
ds-web-analytics-tag,Digital Skills: Web Analytics (TAG),Accenture Private,SponsoredAccess,0,0
independent-research-project-methodology-and-methods-cmbim-oc,Independent Research Project: Methodology and Methods (CMBIM),Coventry University,NoPurchase,6,0
dsp-analytics-learners,Digital Skills: Analytics,Accenture Skills to Succeed,NoPurchase,6,0
supporting-diverse-innovation,Supporting Diverse Innovation,UAL Creative Computing Institute,ExpertTrackAccess,6,0
letter-sounds-phonological-awareness-oxed,The Nuffield Early Language Intervention: Teaching Letter Sounds and Phonological Awareness - Training Course 3 of 3,OxEd and Assessment Ltd,SponsoredAccess,2,0
meaningful-participation-community-work-and-museums,Creating Meaningful and Inclusive Museum Practices with ICOM,International Council of Museums,UpgradedAccess,14,0
jess-test,Portfolio Sharing Link Test,FutureLearn,SponsoredAccess,1,0
capital-crear-un-plan-para-conseguir-inversionistas,Capital: crear un plan para conseguir inversionistas,10xU,ExpertTrackAccess,4,0
regression-analysis-digital-base-business,Regression Analysis and Digital Base for Business DO NOT USE,Coventry University,UpgradedAccess,0,0
research-methodology-a,Research Methodology (A),Coventry University,NoPurchase,2,0
fundamental-care-covid19-12,A Guide for Nurses on Meeting the Fundamental Care Needs of Hospitalised Patients with COVID-19 (12),University of Exeter,SponsoredAccess,0,0
7121maa-02,Supply Chain & Logistics Concepts - SC2,Coventry University,UpgradedAccess,0,0
21st-century-healthcare-leader-manager-a2,The 21st Century Healthcare Leader and Manager (A2),Coventry University,UpgradedAccess,0,0
f5006fd-sc10,F5006FD - SC10,Coventry University,UpgradedAccess,0,0
work-life-balance-remote-working-kick-start,Work-Life Balance and the Impact of Remote Working - BeReady Kickstart,Coventry University,NoPurchase,0,0
foundation-skills-for-nursing-care-09,Foundation Skills for Nursing Care 9,Coventry University,UpgradedAccess,0,0
independent-research-project-literature-review-emr-oc,Independent Research Project: Literature Review (EMR),Coventry University,NoPurchase,0,0
leading-and-managing-change,Leading and Managing People-Centred Change,Durham University,UpgradedAccess,20838,272
cambridge-english-ielts,Inside IELTS,Cambridge Assessment English,UpgradedAccess,428948,3
sustainable-construction-development,Sustainable Construction and Development,Chartered Institute of Building Academy,UpgradedAccess,11473,250
academic-integrity,Academic Integrity,The University of Auckland,UpgradedAccess,59717,69
the-science-of-nuclear-energy,The Science of Nuclear Energy,The Open University,UpgradedAccess,28183,112
business-analytics-forecasting,Business Analytics Using Forecasting,National Tsing Hua University (NTHU),UpgradedAccess,16541,91
research-project,Developing Your Research Project,University of Southampton,UpgradedAccess,134646,179
step-into-social-care,Step into Social Care,City & Guilds Group,UpgradedAccess,6421,39
basic-english-pre-intermediate,Basic English 2: Pre-Intermediate,King's College London,SponsoredAccess,346571,0
who-made-my-clothes,Who Made My Clothes?,University of Exeter,UpgradedAccess,18336,46
irish-language-8,Irish 108: An Introduction to Irish Language and Culture,Dublin City University,UpgradedAccess,2395,129
research-writing,Research Writing,University of Wollongong,UpgradedAccess,32240,143
medical-peace-work,Medical Peace Work,University of Bergen,UpgradedAccess,3708,2
robert-burns,Robert Burns,The University of Glasgow,UpgradedAccess,28013,319
palliative,Palliative Care,Lancaster University,UpgradedAccess,9721,2
ahl701-fl3,AHL701.3 Humanitarian Actors,Deakin University,NoPurchase,173,0
agriculture-economic-nature,"Agriculture, Economics and Nature",The University of Western Australia,SponsoredAccess,19792,0
jazz-piano,Learn Jazz Piano: Begin with the Blues,"Goldsmiths, University of London ",ExpertTrackAccess,16039,120
vet-school-application-support,Virtual Work Experience and Exploring the Veterinary Profession,The University of Nottingham,UpgradedAccess,13291,67
ib-extended-essay,The IB Extended Essay: Managing your Research Project,University of Leeds,UpgradedAccess,21098,41
coaching-mental-game,Coaching the Mental Game,Deakin University,UpgradedAccess,2665,2
maps-geospatial-revolution,Maps and the Geospatial Revolution,The Pennsylvania State University,UpgradedAccess,3271,2
economics-of-copyright-sp,Copyright y los Negocios de las Industrias Creativas,International Confederation of Societies of Authors and Composers (CISAC),UpgradedAccess,750,8
financial-analysis-for-business-decisions-intro-data-analysis-tools,Financial Analysis for Business Decisions: Introduction to Data Analysis Tools and Capital Projects,FutureLearn,ExpertTrackAccess,78,0
identifying-and-responding-to-drug-and-alcohol-addiction,"Identifying and Responding to Drug and Alcohol Addiction in Nursing, Midwifery and Allied Healthcare Practice",Trinity College Dublin,UpgradedAccess,581,51
dsp-socialmedia-vs,Digital Skills: Social Media,Accenture Skills to Succeed and Virgin StartUp,SponsoredAccess,459,0
teaching-climate-change,Teaching Climate Change,National STEM Learning Centre,UpgradedAccess,1229,63
stem-ambassador-induction-north-midlands,STEM Ambassadors Induction - North Midlands,STEM Ambassadors,SponsoredAccess,573,0
global-context,Global Context,Coventry University,NoPurchase,168,0
chinese-medicine-treatise-on-febrile-diseases-caused-by-cold,Chinese Medicine: Treatise on Febrile Diseases Caused by Cold (Shang Han Lun),HKU School of Professional and Continuing Education,UpgradedAccess,796,31
self-mgmt-long-term-conditions,Self-management of Long-term Conditions,Coventry University,NoPurchase,87,0
managing-workplace-emotion,Managing Workplace Emotion,Coventry University,NoPurchase,106,0
mechanics-of-search,Mechanics of Search: Information Retrieval Basics,Dublin City University,NoPurchase,34,0
defining-markets-business-models-trends,"Defining Markets, Business Models & Trends",Institut Français de la Mode (IFM),NoPurchase,253,0
politics-and-philosophy-in-leadership,International Leadership: Politics and Philosophy in Leadership,Coventry University,ExpertTrackAccess,39,0
project-monitoring-and-control-c,Project Monitoring and Control (C),Coventry University,NoPurchase,37,0
big-data,Big Data: Measuring And Predicting Human Behaviour,The University of Warwick,UpgradedAccess,33818,8
developing-leadership-foundations,Edward Jenner Leadership for Veterinary Professionals Part II: Developing Leadership Foundations,NHS Leadership Academy ,UpgradedAccess,5816,28
healthcare,Leadership for Healthcare Improvement and Innovation,The University of Warwick,UpgradedAccess,11513,205
good-pharmacy-practice-the-moderate,Good Pharmacy Practice: Introduction to Medication Delivery Systems,Taipei Medical University,UpgradedAccess,869,15
fundraising-for-non-fundraisers,How to Fundraise,The University of Kent,UpgradedAccess,6203,148
sit771-fl1,SIT771.1 Getting Started with Objects,Deakin University,NoPurchase,561,0
data-analytics-business-fundamentals,Data Analytics for Business Fundamentals,FutureLearn,NoPurchase,273,0
research-skills,Introduction to Research Skills,Dublin City University,NoPurchase,270,0
health-promotion,Capacity Building: Core Competencies for Health Promotion,Taipei Medical University,UpgradedAccess,284,26
ratio-analysis-c1,Ratio Analysis (C),Coventry University,NoPurchase,73,0
sit716-3,SIT716.3 Networks in Action,Deakin University,NoPurchase,139,0
processing-unstructured-data,Data Analytics and Data Mining: Introduction to Processing Unstructured Data,Dublin City University,NoPurchase,106,0
public-health-nursing-et-one,Public Health and Nursing: Drive Public Health Promotion,Coventry University,ExpertTrackAccess,113,0
case-studies-for-academic-business-reports-c,Using Case Studies as a Source for Academic Business Reports (C),Coventry University,NoPurchase,67,0
introduction-to-learning-and-the-role-of-a-trainer,Workplace Training: Introduction to the Training Cycle,ATC Training,ExpertTrackAccess,125,0
hospital-financing-3,HME705.3 Budget Control and Reporting,Deakin University,NoPurchase,85,0
7107exq-05-c,Risk Management in a Global Construction Context (C),Coventry University,NoPurchase,15,0
software-development-python-java-prepare-for-a-software-development-career,Software Development with Python and Java: Prepare for a Software Development Career,FutureLearn,ExpertTrackAccess,34,0
leadership-service-improvement-7003cpd-04,"An Introduction to Complexity, Collaborative Care and Organisational Culture",Coventry University,NoPurchase,68,0
music-and-intelligence-can-music-make-you-smarter,Music and Intelligence: Can Music Make You Smarter?,University of Padova,UpgradedAccess,5,0
speechrecognitionsystem,Applied Artificial Intelligence: Speech Recognition Systems,"CloudSwyft Global Systems, Inc.",NoPurchase,20,0
baking-afternoon-tea,Learn How to Bake Afternoon Tea with BBC Good Food,BBC Good Food,ExpertTrackAccess,87,0
introducton-to-ai-deep-learning,Deep Learning on Azure with Python: AI for Beginners,"CloudSwyft Global Systems, Inc.",ExpertTrackAccess,56,0
laws-absence-and-laws-failings,Law's Absence and Law's Failings,The University of Kent,ExpertTrackAccess,51,0
digital-divide-c,The Digital Divide (C),Coventry University,NoPurchase,24,0
f4009fd-sc1,The ABCDE Assessment,Coventry University,NoPurchase,43,0
planning-the-project-ibm-oc,Planning the Project (IBM),Coventry University,UpgradedAccess,0,0
h880-foundations-of-tel-myanmar,Foundations of TEL,The Open University,SponsoredAccess,51,0
globalisation-in-business-c,Globalisation in Business: International Business and Global Market Entry Strategies (C),Coventry University,NoPurchase,18,0
applying-market-conditions,Applying Market Conditions and the Concept of Value Adding Services,Coventry University,NoPurchase,32,0
complex-healthcare-interventions,Developing and Testing Complex Healthcare Interventions,University of Bergen,UpgradedAccess,5,0
introduction-to-nursing-science-07,Introduction to Nursing Science 7,Coventry University,NoPurchase,4,0
health-tourism,Health Tourism,Coventry University,NoPurchase,25,0
groupthink-bringing-diverse-perspectives,TBC Groupthink: Bringing diverse perspectives into the ideation process,Livity,ExpertTrackAccess,1,0
facilitating-teaching-and-learning-with-microsoft-teams-and-onenote-class-notebooks,Microsoft Office 365 for Teachers: Learning with Microsoft Teams and OneNote Class Notebooks,Tablet Academy,ExpertTrackAccess,4,0
business-futures-assessment,Business Futures Assessment,RMIT University,NoPurchase,7,0
laboratory-training-for-covid-19-molecular-testing-private-xxxx,Laboratory Training for COVID-19 Molecular Testing,"FIND, the global alliance for diagnostics",UpgradedAccess,0,0
ds-digital-fundamentals-communal,Digital Skills: Digital Fundamentals,Accenture Private,NoPurchase,4,0
independent-research-project-research-design-cpcm-oc,Independent Research Project: Research Design (CPCM),Coventry University,NoPurchase,5,0
7103maa-02,Research Methods and Project Introduction - SC2,Coventry University,UpgradedAccess,0,0
independent-research-project-research-question-dmr-oc,Independent Research Project: Research Question (DMR),Coventry University,NoPurchase,0,0
person-centred-care-c1,Person-centred Care (C),Coventry University,NoPurchase,1,0
advanced-data-analysis-and-visualization-using-microsoft-power-bi,TBC Advanced Data Analysis and Visualization Using Microsoft Power BI,"CloudSwyft Global Systems, Inc.",UpgradedAccess,0,0
expert-educator-test,Expert Educator - Test course,Expert Educator,ExpertTrackAccess,0,0
managing-people-culture-2,TBC Managing People & Culture 2 Organisational Alignment: Mapping Guest Experience to Employee Experience,Swiss Education Group,ExpertTrackAccess,0,0
growing-trends-global-supply-chain,Growing Trends in Global Supply Chain,Coventry University,UpgradedAccess,0,0
introduction-to-safeguarding-in-the-international-aid-sector,Introduction to Safeguarding in the International Aid Sector,The Open University,UpgradedAccess,1896,42
the-tudors,The Tudors,University of Roehampton,UpgradedAccess,47107,830
nutrition-wellbeing,Nutrition and Wellbeing,University of Aberdeen,UpgradedAccess,148049,888
ww1-heroism-art-film,WW1 Heroism: Through Art and Film,University of Leeds,UpgradedAccess,33624,305
religion-and-conflict,Religion and Conflict,University of Groningen,UpgradedAccess,39607,164
big-data-decisions,Big Data: from Data to Decisions,Queensland University of Technology,UpgradedAccess,38897,5
safeguarding-in-the-fe-and-skills-sector,Safeguarding in the FE and Training Sector,Education and Training Foundation (ETF),SponsoredAccess,4770,0
falls,Ageing Well,Newcastle University,UpgradedAccess,27723,189
managing-innovation,Managing Innovation: Learning to Prototype for Business,"St George's, University of London",UpgradedAccess,5394,158
academic-writing-for-learners-of-english,Academic Writing in English for ESL Learners,UCL (University College London) ,UpgradedAccess,8704,103
web-application-technologies-and-django,Web Application Technologies and Django,University of Michigan,UpgradedAccess,2101,73
engaging-with-controversies-in-the-food-system,Engaging with Controversies in the Food System,EIT Food,UpgradedAccess,5415,163
digital-transformation,Digital Transformation of Businesses and Services,Grenoble Ecole de Management,UpgradedAccess,6730,0
learners-and-learning-private-eygpt,Teaching for Success: Learning and Learners (MENA),British Council,SponsoredAccess,637,0
invisible-worlds,Invisible Worlds: Understanding the Natural Environment,University of Exeter,UpgradedAccess,7992,330
election-2015,Election 2015 for AS Level Politics,University of Leeds,NoPurchase,4936,0
buddhism-and-zen,Buddhism: Diamond Sutra and Zen Meditation,HKU School of Professional and Continuing Education,UpgradedAccess,2675,82
professional-etiquette,Business Etiquette: Master Communication and Soft Skills,Central Queensland University,UpgradedAccess,3150,179
self-aware-coach,The Self-aware Coach,Deakin University,UpgradedAccess,6601,6
construction-quality,Quality in Construction,Chartered Institute of Building Academy,UpgradedAccess,8820,179
